"TIME","GEO","CURRENCY","Value","Flag and Footnotes"
"2008S1","Belgium","Euro","1,309.60",""
"2008S1","Bulgaria","Euro","112.49",""
"2008S1","Czechia","Euro","300.44",""
"2008S1","Denmark","Euro",":","z"
"2008S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2008S1","Estonia","Euro","278.02",""
"2008S1","Ireland","Euro","1,461.85",""
"2008S1","Greece","Euro","794.02",""
"2008S1","Spain","Euro","700.00",""
"2008S1","France","Euro","1,280.07",""
"2008S1","Croatia","Euro",":","z"
"2008S1","Italy","Euro",":","z"
"2008S1","Cyprus","Euro",":","z"
"2008S1","Latvia","Euro","229.75",""
"2008S1","Lithuania","Euro","231.70",""
"2008S1","Luxembourg","Euro","1,570.28",""
"2008S1","Hungary","Euro","271.94",""
"2008S1","Malta","Euro","617.21",""
"2008S1","Netherlands","Euro","1,335.00",""
"2008S1","Austria","Euro",":","z"
"2008S1","Poland","Euro","313.34",""
"2008S1","Portugal","Euro","497.00",""
"2008S1","Romania","Euro","138.59",""
"2008S1","Slovenia","Euro","538.53",""
"2008S1","Slovakia","Euro","241.19",""
"2008S1","Finland","Euro",":","z"
"2008S1","Sweden","Euro",":","z"
"2008S1","Iceland","Euro",":","z"
"2008S1","Norway","Euro",":","z"
"2008S1","Switzerland","Euro",":","z"
"2008S1","United Kingdom","Euro","1,242.24",""
"2008S1","Montenegro","Euro",":",""
"2008S1","North Macedonia","Euro",":","z"
"2008S1","Albania","Euro","131.38",""
"2008S1","Serbia","Euro","208.37",""
"2008S1","Turkey","Euro","354.34",""
"2008S1","United States","Euro","688.81",""
"2008S2","Belgium","Euro","1,335.80",""
"2008S2","Bulgaria","Euro","112.49",""
"2008S2","Czechia","Euro","334.83",""
"2008S2","Denmark","Euro",":","z"
"2008S2","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2008S2","Estonia","Euro","278.02",""
"2008S2","Ireland","Euro","1,461.85",""
"2008S2","Greece","Euro","794.02",""
"2008S2","Spain","Euro","700.00",""
"2008S2","France","Euro","1,321.02",""
"2008S2","Croatia","Euro","379.60",""
"2008S2","Italy","Euro",":","z"
"2008S2","Cyprus","Euro",":","z"
"2008S2","Latvia","Euro","227.05",""
"2008S2","Lithuania","Euro","231.70",""
"2008S2","Luxembourg","Euro","1,609.53",""
"2008S2","Hungary","Euro","293.08",""
"2008S2","Malta","Euro","617.21",""
"2008S2","Netherlands","Euro","1,356.60",""
"2008S2","Austria","Euro",":","z"
"2008S2","Poland","Euro","335.99",""
"2008S2","Portugal","Euro","497.00",""
"2008S2","Romania","Euro","137.31",""
"2008S2","Slovenia","Euro","566.50",""
"2008S2","Slovakia","Euro","268.17",""
"2008S2","Finland","Euro",":","z"
"2008S2","Sweden","Euro",":","z"
"2008S2","Iceland","Euro",":","z"
"2008S2","Norway","Euro",":","z"
"2008S2","Switzerland","Euro",":","z"
"2008S2","United Kingdom","Euro","1,149.89",""
"2008S2","Montenegro","Euro",":",""
"2008S2","North Macedonia","Euro",":","z"
"2008S2","Albania","Euro","139.29",""
"2008S2","Serbia","Euro","233.09",""
"2008S2","Turkey","Euro","330.54",""
"2008S2","United States","Euro","643.24",""
"2009S1","Belgium","Euro","1,387.50",""
"2009S1","Bulgaria","Euro","122.71",""
"2009S1","Czechia","Euro","297.67",""
"2009S1","Denmark","Euro",":","z"
"2009S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2009S1","Estonia","Euro","278.02",""
"2009S1","Ireland","Euro","1,461.85",""
"2009S1","Greece","Euro","817.83",""
"2009S1","Spain","Euro","728.00",""
"2009S1","France","Euro","1,321.02",""
"2009S1","Croatia","Euro","373.46",""
"2009S1","Italy","Euro",":","z"
"2009S1","Cyprus","Euro",":","z"
"2009S1","Latvia","Euro","254.13",""
"2009S1","Lithuania","Euro","231.70",""
"2009S1","Luxembourg","Euro","1,641.74",""
"2009S1","Hungary","Euro","268.09",""
"2009S1","Malta","Euro","634.88",""
"2009S1","Netherlands","Euro","1,381.20",""
"2009S1","Austria","Euro",":","z"
"2009S1","Poland","Euro","307.21",""
"2009S1","Portugal","Euro","525.00",""
"2009S1","Romania","Euro","149.16",""
"2009S1","Slovenia","Euro","589.19",""
"2009S1","Slovakia","Euro","295.50",""
"2009S1","Finland","Euro",":","z"
"2009S1","Sweden","Euro",":","z"
"2009S1","Iceland","Euro",":","z"
"2009S1","Norway","Euro",":","z"
"2009S1","Switzerland","Euro",":","z"
"2009S1","United Kingdom","Euro","995.28",""
"2009S1","Montenegro","Euro",":",""
"2009S1","North Macedonia","Euro",":","z"
"2009S1","Albania","Euro","137.32",""
"2009S1","Serbia","Euro","232.99",""
"2009S1","Turkey","Euro","309.94",""
"2009S1","United States","Euro","815.79",""
"2009S2","Belgium","Euro","1,387.50",""
"2009S2","Bulgaria","Euro","122.71",""
"2009S2","Czechia","Euro","309.10",""
"2009S2","Denmark","Euro",":","z"
"2009S2","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2009S2","Estonia","Euro","278.02",""
"2009S2","Ireland","Euro","1,461.85",""
"2009S2","Greece","Euro","862.82",""
"2009S2","Spain","Euro","728.00",""
"2009S2","France","Euro","1,337.70",""
"2009S2","Croatia","Euro","386.91",""
"2009S2","Italy","Euro",":","z"
"2009S2","Cyprus","Euro",":","z"
"2009S2","Latvia","Euro","255.83",""
"2009S2","Lithuania","Euro","231.70",""
"2009S2","Luxembourg","Euro","1,682.76",""
"2009S2","Hungary","Euro","263.30",""
"2009S2","Malta","Euro","634.88",""
"2009S2","Netherlands","Euro","1,398.60",""
"2009S2","Austria","Euro",":","z"
"2009S2","Poland","Euro","286.61",""
"2009S2","Portugal","Euro","525.00",""
"2009S2","Romania","Euro","142.61",""
"2009S2","Slovenia","Euro","589.19",""
"2009S2","Slovakia","Euro","295.50",""
"2009S2","Finland","Euro",":","z"
"2009S2","Sweden","Euro",":","z"
"2009S2","Iceland","Euro",":","z"
"2009S2","Norway","Euro",":","z"
"2009S2","Switzerland","Euro",":","z"
"2009S2","United Kingdom","Euro","1,112.55",""
"2009S2","Montenegro","Euro",":",""
"2009S2","North Macedonia","Euro",":","z"
"2009S2","Albania","Euro","137.66",""
"2009S2","Serbia","Euro","220.23",""
"2009S2","Turkey","Euro","320.81",""
"2009S2","United States","Euro","803.26",""
"2010S1","Belgium","Euro","1,387.50",""
"2010S1","Bulgaria","Euro","122.71",""
"2010S1","Czechia","Euro","302.19",""
"2010S1","Denmark","Euro",":","z"
"2010S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2010S1","Estonia","Euro","278.02",""
"2010S1","Ireland","Euro","1,461.85",""
"2010S1","Greece","Euro","862.82",""
"2010S1","Spain","Euro","738.85",""
"2010S1","France","Euro","1,343.77",""
"2010S1","Croatia","Euro","385.48",""
"2010S1","Italy","Euro",":","z"
"2010S1","Cyprus","Euro",":","z"
"2010S1","Latvia","Euro","253.77",""
"2010S1","Lithuania","Euro","231.70",""
"2010S1","Luxembourg","Euro","1,682.76",""
"2010S1","Hungary","Euro","271.80",""
"2010S1","Malta","Euro","659.92",""
"2010S1","Netherlands","Euro","1,407.60",""
"2010S1","Austria","Euro",":","z"
"2010S1","Poland","Euro","320.87",""
"2010S1","Portugal","Euro","554.17",""
"2010S1","Romania","Euro","141.63",""
"2010S1","Slovenia","Euro","597.43",""
"2010S1","Slovakia","Euro","307.70",""
"2010S1","Finland","Euro",":","z"
"2010S1","Sweden","Euro",":","z"
"2010S1","Iceland","Euro",":","z"
"2010S1","Norway","Euro",":","z"
"2010S1","Switzerland","Euro",":","z"
"2010S1","United Kingdom","Euro","1,076.46",""
"2010S1","Montenegro","Euro",":",""
"2010S1","North Macedonia","Euro",":","z"
"2010S1","Albania","Euro","130.47",""
"2010S1","Serbia","Euro","222.37",""
"2010S1","Turkey","Euro","338.33",""
"2010S1","United States","Euro","872.32",""
"2010S2","Belgium","Euro","1,387.50",""
"2010S2","Bulgaria","Euro","122.71",""
"2010S2","Czechia","Euro","311.39",""
"2010S2","Denmark","Euro",":","z"
"2010S2","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2010S2","Estonia","Euro","278.02",""
"2010S2","Ireland","Euro","1,461.85",""
"2010S2","Greece","Euro","862.82",""
"2010S2","Spain","Euro","738.85",""
"2010S2","France","Euro","1,343.77",""
"2010S2","Croatia","Euro","390.94",""
"2010S2","Italy","Euro",":","z"
"2010S2","Cyprus","Euro",":","z"
"2010S2","Latvia","Euro","253.77",""
"2010S2","Lithuania","Euro","231.70",""
"2010S2","Luxembourg","Euro","1,724.81",""
"2010S2","Hungary","Euro","256.99",""
"2010S2","Malta","Euro","659.92",""
"2010S2","Netherlands","Euro","1,416.00",""
"2010S2","Austria","Euro",":","z"
"2010S2","Poland","Euro","317.58",""
"2010S2","Portugal","Euro","554.17",""
"2010S2","Romania","Euro","137.30",""
"2010S2","Slovenia","Euro","734.15",""
"2010S2","Slovakia","Euro","307.70",""
"2010S2","Finland","Euro",":","z"
"2010S2","Sweden","Euro",":","z"
"2010S2","Iceland","Euro",":","z"
"2010S2","Norway","Euro",":","z"
"2010S2","Switzerland","Euro",":","z"
"2010S2","United Kingdom","Euro","1,169.49",""
"2010S2","Montenegro","Euro",":",""
"2010S2","North Macedonia","Euro",":","z"
"2010S2","Albania","Euro","139.25",""
"2010S2","Serbia","Euro","203.29",""
"2010S2","Turkey","Euro","392.01",""
"2010S2","United States","Euro","1,024.09",""
"2011S1","Belgium","Euro","1,415.24",""
"2011S1","Bulgaria","Euro","122.71",""
"2011S1","Czechia","Euro","319.22",""
"2011S1","Denmark","Euro",":","z"
"2011S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2011S1","Estonia","Euro","278.02",""
"2011S1","Ireland","Euro","1,461.85",""
"2011S1","Greece","Euro","862.82",""
"2011S1","Spain","Euro","748.30",""
"2011S1","France","Euro","1,365.00",""
"2011S1","Croatia","Euro","381.15",""
"2011S1","Italy","Euro",":","z"
"2011S1","Cyprus","Euro",":","z"
"2011S1","Latvia","Euro","281.93",""
"2011S1","Lithuania","Euro","231.70",""
"2011S1","Luxembourg","Euro","1,757.56",""
"2011S1","Hungary","Euro","280.63",""
"2011S1","Malta","Euro","664.95",""
"2011S1","Netherlands","Euro","1,424.40",""
"2011S1","Austria","Euro",":","z"
"2011S1","Poland","Euro","348.68",""
"2011S1","Portugal","Euro","565.83",""
"2011S1","Romania","Euro","157.20",""
"2011S1","Slovenia","Euro","748.10",""
"2011S1","Slovakia","Euro","317.00",""
"2011S1","Finland","Euro",":","z"
"2011S1","Sweden","Euro",":","z"
"2011S1","Iceland","Euro",":","z"
"2011S1","Norway","Euro",":","z"
"2011S1","Switzerland","Euro",":","z"
"2011S1","United Kingdom","Euro","1,136.22",""
"2011S1","Montenegro","Euro",":",""
"2011S1","North Macedonia","Euro",":","z"
"2011S1","Albania","Euro","136.92",""
"2011S1","Serbia","Euro","212.88",""
"2011S1","Turkey","Euro","384.89",""
"2011S1","United States","Euro","940.48",""
"2011S2","Belgium","Euro","1,443.54",""
"2011S2","Bulgaria","Euro","122.71",""
"2011S2","Czechia","Euro","328.61",""
"2011S2","Denmark","Euro",":","z"
"2011S2","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2011S2","Estonia","Euro","278.02",""
"2011S2","Ireland","Euro","1,461.85",""
"2011S2","Greece","Euro","876.62",""
"2011S2","Spain","Euro","748.30",""
"2011S2","France","Euro","1,365.00",""
"2011S2","Croatia","Euro","380.18",""
"2011S2","Italy","Euro",":","z"
"2011S2","Cyprus","Euro",":","z"
"2011S2","Latvia","Euro","281.97",""
"2011S2","Lithuania","Euro","231.70",""
"2011S2","Luxembourg","Euro","1,757.56",""
"2011S2","Hungary","Euro","293.11",""
"2011S2","Malta","Euro","664.95",""
"2011S2","Netherlands","Euro","1,435.20",""
"2011S2","Austria","Euro",":","z"
"2011S2","Poland","Euro","347.34",""
"2011S2","Portugal","Euro","565.83",""
"2011S2","Romania","Euro","157.89",""
"2011S2","Slovenia","Euro","748.10",""
"2011S2","Slovakia","Euro","317.00",""
"2011S2","Finland","Euro",":","z"
"2011S2","Sweden","Euro",":","z"
"2011S2","Iceland","Euro",":","z"
"2011S2","Norway","Euro",":","z"
"2011S2","Switzerland","Euro",":","z"
"2011S2","United Kingdom","Euro","1,083.60",""
"2011S2","Montenegro","Euro",":",""
"2011S2","North Macedonia","Euro",":","z"
"2011S2","Albania","Euro","141.43",""
"2011S2","Serbia","Euro","234.88",""
"2011S2","Turkey","Euro","356.17",""
"2011S2","United States","Euro","869.48",""
"2012S1","Belgium","Euro","1,443.54",""
"2012S1","Bulgaria","Euro","138.05",""
"2012S1","Czechia","Euro","310.23",""
"2012S1","Denmark","Euro",":","z"
"2012S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2012S1","Estonia","Euro","290.00",""
"2012S1","Ireland","Euro","1,461.85",""
"2012S1","Greece","Euro","876.62",""
"2012S1","Spain","Euro","748.30",""
"2012S1","France","Euro","1,398.37",""
"2012S1","Croatia","Euro","373.36",""
"2012S1","Italy","Euro",":","z"
"2012S1","Cyprus","Euro",":","z"
"2012S1","Latvia","Euro","285.92",""
"2012S1","Lithuania","Euro","231.70",""
"2012S1","Luxembourg","Euro","1,801.49",""
"2012S1","Hungary","Euro","295.63",""
"2012S1","Malta","Euro","685.14",""
"2012S1","Netherlands","Euro","1,446.60",""
"2012S1","Austria","Euro",":","z"
"2012S1","Poland","Euro","336.47",""
"2012S1","Portugal","Euro","565.83",""
"2012S1","Romania","Euro","161.91",""
"2012S1","Slovenia","Euro","763.06",""
"2012S1","Slovakia","Euro","327.00",""
"2012S1","Finland","Euro",":","z"
"2012S1","Sweden","Euro",":","z"
"2012S1","Iceland","Euro",":","z"
"2012S1","Norway","Euro",":","z"
"2012S1","Switzerland","Euro",":","z"
"2012S1","United Kingdom","Euro","1,201.96",""
"2012S1","Montenegro","Euro",":",""
"2012S1","North Macedonia","Euro",":",""
"2012S1","Albania","Euro","143.96",""
"2012S1","Serbia","Euro","229.99",""
"2012S1","Turkey","Euro","362.84",""
"2012S1","United States","Euro","971.22",""
"2012S2","Belgium","Euro","1,472.42",""
"2012S2","Bulgaria","Euro","148.28",""
"2012S2","Czechia","Euro","312.01",""
"2012S2","Denmark","Euro",":","z"
"2012S2","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2012S2","Estonia","Euro","290.00",""
"2012S2","Ireland","Euro","1,461.85",""
"2012S2","Greece","Euro","683.76",""
"2012S2","Spain","Euro","748.30",""
"2012S2","France","Euro","1,425.67",""
"2012S2","Croatia","Euro","374.31",""
"2012S2","Italy","Euro",":","z"
"2012S2","Cyprus","Euro",":","z"
"2012S2","Latvia","Euro","287.07",""
"2012S2","Lithuania","Euro","231.70",""
"2012S2","Luxembourg","Euro","1,801.49",""
"2012S2","Hungary","Euro","323.17",""
"2012S2","Malta","Euro","685.14",""
"2012S2","Netherlands","Euro","1,456.20",""
"2012S2","Austria","Euro",":","z"
"2012S2","Poland","Euro","353.04",""
"2012S2","Portugal","Euro","565.83",""
"2012S2","Romania","Euro","157.26",""
"2012S2","Slovenia","Euro","763.06",""
"2012S2","Slovakia","Euro","327.00",""
"2012S2","Finland","Euro",":","z"
"2012S2","Sweden","Euro",":","z"
"2012S2","Iceland","Euro",":","z"
"2012S2","Norway","Euro",":","z"
"2012S2","Switzerland","Euro",":","z"
"2012S2","United Kingdom","Euro","1,244.42",""
"2012S2","Montenegro","Euro",":",""
"2012S2","North Macedonia","Euro",":",""
"2012S2","Albania","Euro","151.99",""
"2012S2","Serbia","Euro","234.90",""
"2012S2","Turkey","Euro","411.89",""
"2012S2","United States","Euro","998.15",""
"2013S1","Belgium","Euro","1,501.82",""
"2013S1","Bulgaria","Euro","158.50",""
"2013S1","Czechia","Euro","318.08",""
"2013S1","Denmark","Euro",":","z"
"2013S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2013S1","Estonia","Euro","320.00",""
"2013S1","Ireland","Euro","1,461.85",""
"2013S1","Greece","Euro","683.76",""
"2013S1","Spain","Euro","752.85",""
"2013S1","France","Euro","1,430.22",""
"2013S1","Croatia","Euro","372.35",""
"2013S1","Italy","Euro",":","z"
"2013S1","Cyprus","Euro",":","z"
"2013S1","Latvia","Euro","286.66",""
"2013S1","Lithuania","Euro","289.62",""
"2013S1","Luxembourg","Euro","1,874.19",""
"2013S1","Hungary","Euro","335.27",""
"2013S1","Malta","Euro","702.82",""
"2013S1","Netherlands","Euro","1,469.40",""
"2013S1","Austria","Euro",":","z"
"2013S1","Poland","Euro","392.73",""
"2013S1","Portugal","Euro","565.83",""
"2013S1","Romania","Euro","157.50",""
"2013S1","Slovenia","Euro","783.66",""
"2013S1","Slovakia","Euro","337.70",""
"2013S1","Finland","Euro",":","z"
"2013S1","Sweden","Euro",":","z"
"2013S1","Iceland","Euro",":","z"
"2013S1","Norway","Euro",":","z"
"2013S1","Switzerland","Euro",":","z"
"2013S1","United Kingdom","Euro","1,249.85",""
"2013S1","Montenegro","Euro",":",""
"2013S1","North Macedonia","Euro","199.48",""
"2013S1","Albania","Euro","150.44",""
"2013S1","Serbia","Euro","239.24",""
"2013S1","Turkey","Euro","415.52",""
"2013S1","United States","Euro","952.46",""
"2013S2","Belgium","Euro","1,501.82",""
"2013S2","Bulgaria","Euro","158.50",""
"2013S2","Czechia","Euro","308.30",""
"2013S2","Denmark","Euro",":","z"
"2013S2","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2013S2","Estonia","Euro","320.00",""
"2013S2","Ireland","Euro","1,461.85",""
"2013S2","Greece","Euro","683.76",""
"2013S2","Spain","Euro","752.85",""
"2013S2","France","Euro","1,430.22",""
"2013S2","Croatia","Euro","400.67",""
"2013S2","Italy","Euro",":","z"
"2013S2","Cyprus","Euro",":","z"
"2013S2","Latvia","Euro","284.74",""
"2013S2","Lithuania","Euro","289.62",""
"2013S2","Luxembourg","Euro","1,874.19",""
"2013S2","Hungary","Euro","332.37",""
"2013S2","Malta","Euro","702.82",""
"2013S2","Netherlands","Euro","1,477.80",""
"2013S2","Austria","Euro",":","z"
"2013S2","Poland","Euro","368.87",""
"2013S2","Portugal","Euro","565.83",""
"2013S2","Romania","Euro","179.36",""
"2013S2","Slovenia","Euro","783.66",""
"2013S2","Slovakia","Euro","337.70",""
"2013S2","Finland","Euro",":","z"
"2013S2","Sweden","Euro",":","z"
"2013S2","Iceland","Euro",":","z"
"2013S2","Norway","Euro",":","z"
"2013S2","Switzerland","Euro",":","z"
"2013S2","United Kingdom","Euro","1,189.92",""
"2013S2","Montenegro","Euro","288.05",""
"2013S2","North Macedonia","Euro","198.95",""
"2013S2","Albania","Euro","156.07",""
"2013S2","Serbia","Euro","236.27",""
"2013S2","Turkey","Euro","405.20",""
"2013S2","United States","Euro","960.76",""
"2014S1","Belgium","Euro","1,501.82",""
"2014S1","Bulgaria","Euro","173.84",""
"2014S1","Czechia","Euro","309.91",""
"2014S1","Denmark","Euro",":","z"
"2014S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2014S1","Estonia","Euro","355.00",""
"2014S1","Ireland","Euro","1,461.85",""
"2014S1","Greece","Euro","683.76",""
"2014S1","Spain","Euro","752.85",""
"2014S1","France","Euro","1,445.38",""
"2014S1","Croatia","Euro","395.67",""
"2014S1","Italy","Euro",":","z"
"2014S1","Cyprus","Euro",":","z"
"2014S1","Latvia","Euro","320.00",""
"2014S1","Lithuania","Euro","289.62",""
"2014S1","Luxembourg","Euro","1,921.03",""
"2014S1","Hungary","Euro","341.70",""
"2014S1","Malta","Euro","717.95",""
"2014S1","Netherlands","Euro","1,485.60",""
"2014S1","Austria","Euro",":","z"
"2014S1","Poland","Euro","404.40",""
"2014S1","Portugal","Euro","565.83",""
"2014S1","Romania","Euro","190.11",""
"2014S1","Slovenia","Euro","789.15",""
"2014S1","Slovakia","Euro","352.00",""
"2014S1","Finland","Euro",":","z"
"2014S1","Sweden","Euro",":","z"
"2014S1","Iceland","Euro",":","z"
"2014S1","Norway","Euro",":","z"
"2014S1","Switzerland","Euro",":","z"
"2014S1","United Kingdom","Euro","1,251.05",""
"2014S1","Montenegro","Euro","288.05",""
"2014S1","North Macedonia","Euro","213.62",""
"2014S1","Albania","Euro","156.92",""
"2014S1","Serbia","Euro","235.30",""
"2014S1","Turkey","Euro","361.76",""
"2014S1","United States","Euro","911.22",""
"2014S2","Belgium","Euro","1,501.82",""
"2014S2","Bulgaria","Euro","173.84",""
"2014S2","Czechia","Euro","309.62",""
"2014S2","Denmark","Euro",":","z"
"2014S2","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2014S2","Estonia","Euro","355.00",""
"2014S2","Ireland","Euro","1,461.85",""
"2014S2","Greece","Euro","683.76",""
"2014S2","Spain","Euro","752.85",""
"2014S2","France","Euro","1,445.38",""
"2014S2","Croatia","Euro","398.31",""
"2014S2","Italy","Euro",":","z"
"2014S2","Cyprus","Euro",":","z"
"2014S2","Latvia","Euro","320.00",""
"2014S2","Lithuania","Euro","289.62",""
"2014S2","Luxembourg","Euro","1,921.03",""
"2014S2","Hungary","Euro","328.16",""
"2014S2","Malta","Euro","717.95",""
"2014S2","Netherlands","Euro","1,495.20",""
